frame,global_rmsd,core_rmsd
561,7.306,2.839
562,7.084,2.930
563,7.228,2.780
564,7.338,2.804
565,7.254,2.766
566,7.163,2.690
567,7.243,2.624
568,7.413,2.648
569,7.325,2.605
570,7.278,2.592
571,7.241,2.670
572,7.391,2.782
573,7.164,2.662
574,7.274,2.688
575,7.378,2.801
576,7.404,2.704
577,7.425,2.618
578,7.440,2.692
579,7.580,2.635
580,7.342,2.569
581,7.469,2.633
582,7.139,2.656
583,7.298,2.607
584,7.229,2.550
585,7.270,2.602
586,7.340,2.635
587,7.382,2.641
588,7.386,2.666
589,7.540,2.631
590,7.573,2.680
591,7.352,2.706
592,7.549,2.668
593,7.553,2.743
594,7.642,2.591
595,7.610,2.715
596,7.390,2.599
597,7.346,2.649
598,7.388,2.616
599,7.530,2.697
600,7.620,2.667
601,7.725,2.706
602,7.613,2.597
603,7.541,2.585
604,7.663,2.515
605,7.761,2.582
606,7.828,2.612
607,7.756,2.661
608,7.702,2.639
609,7.719,2.778
610,7.558,2.694
611,7.414,2.642
612,7.442,2.679
613,7.525,2.694
614,7.299,2.648
615,7.227,2.525
616,7.284,2.585
617,7.262,2.581
618,7.491,2.771
619,7.433,2.715
620,7.161,2.708
621,6.922,2.619
622,7.197,2.680
623,7.284,2.725
624,7.204,2.697
625,7.277,2.788
626,7.101,2.842
627,7.111,2.911
628,7.247,2.890
629,7.240,2.758
630,7.198,2.797
631,7.303,2.975
632,7.226,2.872
633,7.254,2.808
634,7.365,2.931
635,7.352,2.942
636,7.460,2.996
637,7.320,2.963
638,7.371,2.882
639,7.530,2.923
640,7.484,2.796
641,7.417,2.843
642,7.240,2.843
643,7.153,2.784
644,7.116,2.920
645,7.182,2.855
646,7.101,2.783
647,7.107,2.829
648,7.304,2.817
649,7.296,2.848
650,7.407,2.899
651,7.415,2.944
652,7.337,2.920
653,7.337,2.833
654,7.394,2.901
655,7.448,2.839
656,7.512,2.935
657,7.380,2.794
658,7.421,2.835
659,7.333,2.957
660,7.431,2.929
661,7.427,3.017
662,7.390,2.921
663,7.333,2.888
664,7.300,2.902
665,7.322,2.939
666,7.468,2.934
667,7.440,2.803
668,7.394,2.840
669,7.348,2.827
670,7.383,2.835
671,7.620,2.749
672,7.565,2.740
673,7.411,2.763
674,7.534,2.778
675,7.573,2.896
676,7.476,2.790
677,7.423,2.823
678,7.493,2.807
679,7.464,2.802
680,7.538,2.854
681,7.674,3.069
682,7.529,2.995
683,7.593,2.882
684,7.609,2.804
685,7.623,2.755
686,7.570,2.877
687,7.633,2.788
688,7.722,2.748
689,7.605,2.713
690,7.622,2.868
691,7.743,2.794
692,7.859,2.889
693,7.719,2.857
694,7.710,2.899
695,7.575,2.786
696,7.618,2.826
697,7.579,2.832
698,7.419,2.841
699,7.682,2.811
700,7.954,2.848
701,8.087,2.872
702,8.044,2.871
703,7.993,2.783
704,7.993,2.757
705,8.018,2.877
706,7.655,2.721
707,7.784,2.675
708,7.854,2.698
709,7.864,2.740
710,7.783,2.797
711,7.683,2.874
712,7.651,2.815
713,7.671,2.823
714,7.672,2.832
715,7.738,2.840
716,7.667,2.949
717,7.677,2.914
718,7.712,2.779
719,7.707,2.724
720,7.762,2.641
721,7.757,2.615
722,7.729,2.737
723,7.676,2.802
724,7.729,2.741
725,7.651,2.622
726,7.775,2.574
727,7.875,2.644
728,8.015,2.613
729,7.943,2.562
730,7.736,2.576
731,7.769,2.474
732,7.600,2.430
733,7.627,2.433
734,7.605,2.618
735,7.480,2.620
736,7.389,2.621
737,7.426,2.680
738,7.422,2.663
739,7.463,2.668
740,7.528,2.622
741,7.466,2.692
742,7.458,2.792
743,7.401,2.770
744,7.393,2.741
745,7.491,2.774
746,7.567,2.755
747,7.694,2.765
748,8.001,2.734
749,7.890,2.667
750,8.049,2.686
751,7.902,2.658
752,7.801,2.643
753,7.892,2.626
754,7.858,2.758
755,7.878,2.771
756,7.918,2.731
757,7.919,2.775
758,7.900,2.694
759,7.911,2.567
760,7.856,2.624
761,7.847,2.715
762,7.859,2.591
763,7.813,2.579
764,7.726,2.567
765,7.634,2.559
766,7.820,2.595
767,7.806,2.595
768,7.611,2.648
769,7.586,2.746
770,7.450,2.692
771,7.433,2.743
772,7.289,2.743
773,7.227,2.839
774,7.325,2.792
775,7.541,2.752
776,7.484,2.853
777,7.424,2.806
778,7.650,2.742
779,7.606,2.758
780,7.590,2.739
781,7.536,2.681
782,7.488,2.810
783,7.410,2.688
784,7.449,2.827
785,7.367,2.780
786,7.336,2.742
787,7.563,2.755
788,7.715,2.770
789,7.613,2.721
790,7.674,2.617
791,7.652,2.616
792,7.731,2.628
793,7.594,2.699
794,7.764,2.661
795,7.722,2.615
796,7.566,2.560
797,7.644,2.650
798,7.580,2.640
799,7.378,2.633
800,7.473,2.517
801,7.472,2.672
802,7.392,2.572
803,7.383,2.690
804,7.359,2.661
805,7.440,2.636
806,7.455,2.609
807,7.510,2.642
808,7.630,2.706
809,7.579,2.704
810,7.722,2.698
811,7.772,2.816
812,7.710,2.845
813,7.547,2.777
814,7.513,2.614
815,7.338,2.570
816,7.297,2.761
817,7.238,2.780
818,7.296,2.751
819,7.452,2.879
820,7.392,2.869
821,7.516,2.968
822,7.440,2.889
823,7.592,3.010
824,7.446,2.992
825,7.381,3.009
826,7.389,3.024
827,7.292,2.904
828,7.260,3.035
829,7.179,2.901
830,7.126,2.778
831,7.218,2.841
832,7.273,2.773
833,7.225,2.906
834,7.288,2.855
835,7.366,2.887
836,7.221,2.850
837,7.266,2.918
838,7.209,2.932
839,7.057,2.791
840,7.050,2.825
841,6.998,2.844
842,7.071,2.827
843,7.094,2.796
844,7.098,2.823
845,6.995,2.779
846,7.063,2.784
847,7.120,2.772
848,7.182,2.789
849,7.305,2.805
850,7.291,2.962
851,7.208,2.927
852,7.352,2.860
853,7.361,2.872
854,7.482,2.794
855,7.461,2.763
856,7.514,2.818
857,7.314,2.810
858,7.453,2.868
859,7.470,3.098
860,7.324,3.045
861,7.228,3.057
862,7.116,3.006
863,7.117,2.884
864,7.113,2.864
865,7.246,3.032
866,7.210,3.009
867,7.374,3.000
868,7.173,2.905
869,7.246,3.043
870,7.264,3.088
871,7.249,3.138
872,7.085,2.991
873,7.034,3.070
874,7.138,3.020
875,7.062,2.954
876,7.218,2.840
877,7.164,2.855
878,7.231,2.766
879,7.311,2.812
880,7.256,2.871
881,7.213,2.950
882,7.316,2.760
883,7.320,2.959
884,7.330,2.962
885,7.373,2.969
886,7.781,2.978
887,7.625,2.979
888,7.829,2.956
889,7.797,2.933
890,7.510,3.014
891,7.347,2.937
892,7.367,2.901
893,7.439,2.936
894,7.556,2.985
895,7.472,2.893
896,7.487,2.809
897,7.496,2.814
898,7.477,2.706
899,7.491,2.779
900,7.738,2.833
901,7.609,2.780
902,7.629,2.720
903,7.629,2.783
904,7.573,2.887
905,7.552,2.861
906,7.503,2.954
907,7.381,2.811
908,7.494,2.899
909,7.515,2.843
910,7.504,2.799
911,7.540,2.793
912,7.361,2.823
913,7.257,2.723
914,7.159,2.621
915,7.257,2.636
916,7.286,2.731
917,7.471,2.721
918,7.534,2.711
919,7.363,2.782
920,7.345,2.798
921,7.338,2.691
922,7.318,2.632
923,7.394,2.666
924,7.448,2.637
925,7.605,2.652
926,7.350,2.557
927,7.232,2.703
928,7.272,2.708
929,7.200,2.739
930,7.366,2.696
931,7.545,2.856
932,7.528,2.755
933,7.653,2.710
934,7.498,2.578
935,7.489,2.761
936,7.538,2.674
937,7.533,2.665
938,7.566,2.706
939,7.501,2.696
940,7.761,2.726
941,7.575,2.589
942,7.291,2.729
943,7.253,2.687
944,7.444,2.772
945,7.368,2.747
946,7.378,2.687
947,7.438,2.607
948,7.320,2.723
949,7.329,2.612
950,7.352,2.717
951,7.318,2.767
952,7.381,2.683
953,7.480,2.853
954,7.360,2.733
955,7.513,2.737
956,7.626,2.767
957,7.213,2.823
958,7.441,2.838
959,7.532,2.801
960,7.622,2.821
961,7.759,2.826
962,7.653,2.829
963,7.597,2.797
964,7.705,2.880
965,7.632,2.892
966,7.364,2.986
967,7.518,2.919
968,7.469,2.867
969,7.522,2.918
970,7.608,2.953
971,7.533,3.008
972,7.456,2.985
973,7.413,3.072
974,7.443,3.062
975,7.491,3.026
976,7.477,3.000
977,7.398,3.055
978,7.300,2.995
979,7.439,2.978
980,7.332,3.043
981,7.112,2.908
982,7.079,2.990
983,7.138,2.985
984,7.282,2.992
985,7.431,2.937
986,7.486,2.970
987,7.494,2.901
988,7.676,2.862
989,7.709,2.925
990,7.465,2.891
991,7.476,2.867
992,7.472,2.747
993,7.483,2.890
994,7.367,2.847
995,7.446,2.861
996,7.400,2.811
997,7.605,2.895
998,7.555,2.952
999,7.691,2.996
1000,7.641,2.898
1001,7.605,3.034
1002,7.627,2.931
1003,7.466,2.926
1004,7.414,2.773
1005,7.456,2.734
1006,7.445,2.715
1007,7.617,2.785
1008,7.618,2.664
1009,7.756,2.897
1010,7.919,3.078
1011,8.002,3.075
1012,7.955,3.025
1013,7.801,3.090
1014,7.899,3.093
1015,7.673,3.016
1016,7.602,2.966
1017,7.687,2.877
1018,7.560,2.815
1019,7.765,2.933
1020,7.547,2.879
1021,7.740,2.959
1022,7.686,2.852
1023,7.806,2.801
1024,7.825,2.857
1025,7.908,2.906
1026,8.019,3.008
1027,7.980,2.835
1028,7.994,2.850
1029,7.900,2.844
1030,8.069,2.817
1031,7.869,2.851
1032,7.690,2.712
1033,7.740,2.777
1034,7.799,2.893
1035,7.836,2.889
1036,7.822,2.745
1037,7.686,2.784
1038,7.916,2.827
1039,8.001,2.887
1040,7.918,2.803
1041,7.867,2.907
1042,7.909,2.937
1043,7.829,2.848
1044,7.667,2.904
1045,7.625,2.930
1046,7.512,2.770
1047,7.567,2.880
1048,7.457,2.773
1049,7.532,2.834
1050,7.644,2.874
1051,7.498,2.834
1052,7.439,2.867
1053,7.581,2.920
1054,7.809,3.019
